,date,message,replies,media_available,reactions_total
135,2025-12-01 10:50:56+00:00,Это Яндекс фбс,,False,0
136,2025-12-01 10:42:10+00:00,"Взяли в работу ваше обращение. Внимательно его рассмотрим и сделаем все возможное, чтобы предотвратить такие ситуации в будущем 🙏",,False,0
137,2025-12-01 10:40:23+00:00,,0.0,True,0
138,2025-12-01 10:40:23+00:00,"Яндекс маркет,  ещё раз с Днём рождения! Процветания и всех благ. Спасибо за тортик! Все очень вкусно- как всегда в Шоколаднице!",1.0,True,1
139,2025-12-01 10:37:37+00:00,"Здравствуйте!

На транзитные склады действуют те же правила, что и на обычные. Привезти поставку на склад раньше указанного времени нельзя, так как сотрудники склада не смогут принять товар из-за занятых интервалов времени. Вам нужно приезжать на склад ко времени, которое указано в заявке на поставку",,False,0
140,2025-12-01 10:34:06+00:00,"не ври, заказ не поступал в сц перово, а был отправлен сразу в домодедово, отчеты о возвратах доказывают это, отчеты у вас есть, 
@YandexMarketSupportBot
заказ 50853408642 минуя сц перово, был отправлен в домодедово - когда переместите в перово и отмените плату за хранение ?",,False,1
141,2025-12-01 10:33:22+00:00,"Здравствуйте, Елена!

Видим, что на данный момент раздел ""Стоимость услуг по разным моделям"" доступен. Вы можете открыть его, нажав на стоимость услуг товара в каталоге. Если данный раздел у вас не отображается, отправьте, пожалуйста, в личные сообщения скриншоты. Проверим, в чем может быть проблема",,True,0
142,2025-12-01 10:32:12+00:00,"Здравствуйте, Вячеслав!

Проверили информацию по заказу 50853408642, видим, что этот заказ был готов к выдаче, но не был забран из сортировочного центра в течение 5 дней, поэтому товар переместили в ""Домодедово"". Дело в том, что возвратные и невыкупленные заказы возвращаются в тот же сортировочный центр, куда вы их отгрузили, и хранятся там 5 дней, а на 6-й день их отправляют на возвратный склад ""Домодедово"", об этом также упоминали в Справке.

Отметим, что во избежание утилизации товара, его важно вывести со склада до 10 декабря",,True,0
143,2025-12-01 10:19:57+00:00,,0.0,True,0
144,2025-12-01 10:18:29+00:00,"Так откройте новое обращение, очередной скриншот там",,False,1
145,2025-12-01 10:17:43+00:00,"Наталья, очень жаль, что вам приходится иметь дело с такими ситуациями 😔 Для решения проблемы нам нужны подтверждающие скриншоты. Обязательно все проверим и заблокируем пользователей, которые рассылают спам",,False,0
146,2025-12-01 10:17:27+00:00,"Добрый. В разделе ""Товары"" посмотрите.",,False,0
147,2025-12-01 10:16:58+00:00,"Коллеги, подскажите, в СЦ Дзержинске обычно очереди и строго по времени? Получится раньше приехать и сдать?",1.0,False,1
148,2025-12-01 10:16:11+00:00,"Я так и не понял зачем это нужно, опять ненужный пункт создали.",,True,3
149,2025-12-01 10:15:47+00:00,"Добрый день! Раньше в разделе ""цены"" можно было кликнуть на любой товар  и увидеть все расходы FBS, FBO, подетально каждую статью расходов. Сейчас такой функционал исчез? нигде не могу найти информацию",2.0,False,1
150,2025-12-01 10:15:44+00:00,"Здравствуйте!

Продажи могут упасть по разным причинам. Для анализа ситуации можно использовать отчёт «Аналитика продаж» в личном кабинете. Этот отчёт показывает данные для определённой категории товаров за нужный период времени и помогает выявить факторы, которые могли повлиять на продажи.

Среди таких факторов могут быть: количество товаров в наличии и на витрине, доля показов товаров с ""Бустом продаж"", динамика общего оборота продаж в категории и другие.

Для более детального анализа пришлите, пожалуйста, нам в личные сообщения ID вашего кабинета. Проверим, почему у вас могли упасть продажи 🤝",,True,0
151,2025-12-01 10:13:59+00:00,,,True,0
152,2025-12-01 10:12:06+00:00,Следовать за озоном с 10 дек.повышение на 1-3%,,False,2
153,2025-12-01 10:09:35+00:00,"Враньё. Статус обращений - решено. А спам как продолжался, так и продолжается. Создала новое очередное обращение.",,False,1
154,2025-12-01 10:09:32+00:00,"Добрый день) поднимал цены неделю назад немного, но после этого всю неделю продали были, сейчас резко с пятницы сильно очень упали, почти на 70%. У кого то также было?",,False,1
155,2025-12-01 09:58:18+00:00,"а за удобство работы с карточками нужно платить, требую обновить комиссии до нг как минимум пару раз!))) а то отдвать маркеты 60% стоимости маловато!",0.0,False,0
156,2025-12-01 09:57:19+00:00,куда ещё),,False,2
157,2025-12-01 09:55:42+00:00,6. Обновить комиссии,,False,8
158,2025-12-01 09:55:31+00:00,,,True,0
159,2025-12-01 09:55:31+00:00,,,True,0
160,2025-12-01 09:55:31+00:00,,,True,0
161,2025-12-01 09:55:31+00:00,,,True,0
162,2025-12-01 09:55:31+00:00,,,True,0
163,2025-12-01 09:55:31+00:00,"5 обновлений для удобной работы с карточками

Совместный блок для фото и видео, отдельная группа для товаров с уценкой, единый параметр для количества упаковок и другие новинки — собрали последние изменения в каталоге.

▶️ К товарам

#каталог",32.0,True,32
164,2025-12-01 09:54:55+00:00,"Видим, что ваше обращение о блокировке спама в чате с покупателем уже решено, и пользователь был заблокирован. Если у вас есть другие примеры спама, пришлите, пожалуйста, скриншоты в личные сообщения. Также все проверим и решим проблему. Простите, что вам пришлось столкнуться с подобным 🙏",,False,0
165,2025-12-01 09:52:38+00:00,"@YandexMarketSupportBot
заказ 50853408642 минуя сц перово, был отправлен в домодедово - когда переместите в перово и отмените плату за хранение ?",3.0,False,1
166,2025-12-01 09:50:10+00:00,Давай),,False,0
167,2025-12-01 09:47:11+00:00,"Здравствуйте!

Видим, что вы написали нам в личные сообщения, скоро ответим вам там",,False,0
168,2025-12-01 09:40:48+00:00,"В том то и дело, что уже месяц отправляю эти скриншоты. Спам как кидали, так и кидают. А на сообщения поддержка ЯМ отвечает ""Приняли в работу. Спасибо за информацию.""
Вопрос - Когда будет блокировка?",,False,1
169,2025-12-01 09:38:55+00:00,"Здравствуйте, Наталья!

Если вы обнаружили спам в чатах с покупателями, направьте, пожалуйста, нам в личные сообщения скриншоты с примерами. Обязательно во всем разберемся и сделаем все возможное, чтобы в будущем вы с таким не сталкивались 🤝",,True,0
